land_id,farmer_id,date,ndvi,cloud_cover
LAND000001,FRM000001,2024-11-30,0.501,25.4
LAND000001,FRM000001,2024-12-30,0.677,24.8
LAND000001,FRM000001,2025-01-29,0.687,19.5
LAND000001,FRM000001,2025-02-28,0.637,32.5
LAND000001,FRM000001,2025-03-30,0.673,25.1
LAND000001,FRM000001,2025-04-29,0.591,8.6
LAND000001,FRM000001,2025-05-29,0.611,39.9
LAND000001,FRM000001,2025-06-28,0.529,1.3
LAND000001,FRM000001,2025-07-28,0.436,16.0
LAND000001,FRM000001,2025-08-27,0.399,9.7
LAND000001,FRM000001,2025-09-26,0.406,9.6
LAND000001,FRM000001,2025-10-26,0.399,25.2
LAND000002,FRM000002,2024-11-30,0.88,29.6
LAND000002,FRM000002,2024-12-30,0.9,21.7
LAND000002,FRM000002,2025-01-29,0.869,23.7
LAND000002,FRM000002,2025-02-28,0.9,19.6
LAND000002,FRM000002,2025-03-30,0.9,11.7
LAND000002,FRM000002,2025-04-29,0.893,37.0
LAND000002,FRM000002,2025-05-29,0.84,14.8
LAND000002,FRM000002,2025-06-28,0.787,26.5
LAND000002,FRM000002,2025-07-28,0.818,27.0
LAND000002,FRM000002,2025-08-27,0.854,0.7
LAND000002,FRM000002,2025-09-26,0.877,3.1
LAND000002,FRM000002,2025-10-26,0.836,11.3
LAND000003,FRM000003,2024-11-30,0.437,37.4
LAND000003,FRM000003,2024-12-30,0.585,5.2
LAND000003,FRM000003,2025-01-29,0.591,30.0
LAND000003,FRM000003,2025-02-28,0.669,12.4
LAND000003,FRM000003,2025-03-30,0.636,18.7
LAND000003,FRM000003,2025-04-29,0.538,14.4
LAND000003,FRM000003,2025-05-29,0.569,17.7
LAND000003,FRM000003,2025-06-28,0.439,37.6
LAND000003,FRM000003,2025-07-28,0.37,30.3
LAND000003,FRM000003,2025-08-27,0.269,27.6
LAND000003,FRM000003,2025-09-26,0.322,1.2
LAND000003,FRM000003,2025-10-26,0.392,29.1
LAND000004,FRM000004,2024-11-30,0.463,6.3
LAND000004,FRM000004,2024-12-30,0.556,2.5
LAND000004,FRM000004,2025-01-29,0.55,16.1
LAND000004,FRM000004,2025-02-28,0.643,20.1
LAND000004,FRM000004,2025-03-30,0.611,24.6
LAND000004,FRM000004,2025-04-29,0.608,7.0
LAND000004,FRM000004,2025-05-29,0.605,38.9
LAND000004,FRM000004,2025-06-28,0.475,8.1
LAND000004,FRM000004,2025-07-28,0.495,0.3
LAND000004,FRM000004,2025-08-27,0.409,18.3
LAND000004,FRM000004,2025-09-26,0.431,18.0
LAND000004,FRM000004,2025-10-26,0.485,10.2
LAND000005,FRM000005,2024-11-30,0.456,20.9
LAND000005,FRM000005,2024-12-30,0.402,5.0
LAND000005,FRM000005,2025-01-29,0.503,30.6
LAND000005,FRM000005,2025-02-28,0.54,3.2
LAND000005,FRM000005,2025-03-30,0.501,37.4
LAND000005,FRM000005,2025-04-29,0.429,18.3
LAND000005,FRM000005,2025-05-29,0.479,4.5
LAND000005,FRM000005,2025-06-28,0.327,24.4
LAND000005,FRM000005,2025-07-28,0.458,39.5
LAND000005,FRM000005,2025-08-27,0.402,10.0
LAND000005,FRM000005,2025-09-26,0.455,31.4
LAND000005,FRM000005,2025-10-26,0.458,19.5
LAND000006,FRM000006,2024-11-30,0.442,10.5
LAND000006,FRM000006,2024-12-30,0.442,18.9
LAND000006,FRM000006,2025-01-29,0.482,32.9
LAND000006,FRM000006,2025-02-28,0.466,28.4
LAND000006,FRM000006,2025-03-30,0.513,15.7
LAND000006,FRM000006,2025-04-29,0.425,17.9
LAND000006,FRM000006,2025-05-29,0.31,2.6
LAND000006,FRM000006,2025-06-28,0.361,3.0
LAND000006,FRM000006,2025-07-28,0.342,15.7
LAND000006,FRM000006,2025-08-27,0.218,10.3
LAND000006,FRM000006,2025-09-26,0.293,25.0
LAND000006,FRM000006,2025-10-26,0.236,37.5
LAND000007,FRM000007,2024-11-30,0.778,24.4
LAND000007,FRM000007,2024-12-30,0.882,37.7
LAND000007,FRM000007,2025-01-29,0.9,29.9
LAND000007,FRM000007,2025-02-28,0.857,8.5
LAND000007,FRM000007,2025-03-30,0.848,3.9
LAND000007,FRM000007,2025-04-29,0.773,2.2
LAND000007,FRM000007,2025-05-29,0.712,11.8
LAND000007,FRM000007,2025-06-28,0.672,3.6
LAND000007,FRM000007,2025-07-28,0.607,34.1
LAND000007,FRM000007,2025-08-27,0.655,32.7
LAND000007,FRM000007,2025-09-26,0.645,20.6
LAND000007,FRM000007,2025-10-26,0.675,31.9
LAND000008,FRM000008,2024-11-30,0.846,7.5
LAND000008,FRM000008,2024-12-30,0.777,30.0
LAND000008,FRM000008,2025-01-29,0.83,7.4
LAND000008,FRM000008,2025-02-28,0.844,7.3
LAND000008,FRM000008,2025-03-30,0.9,3.2
LAND000008,FRM000008,2025-04-29,0.805,28.3
LAND000008,FRM000008,2025-05-29,0.789,9.8
LAND000008,FRM000008,2025-06-28,0.708,18.0
LAND000008,FRM000008,2025-07-28,0.659,15.6
LAND000008,FRM000008,2025-08-27,0.657,5.3
LAND000008,FRM000008,2025-09-26,0.662,28.7
LAND000008,FRM000008,2025-10-26,0.588,5.0
LAND000009,FRM000009,2024-11-30,0.622,20.6
LAND000009,FRM000009,2024-12-30,0.725,27.6
LAND000009,FRM000009,2025-01-29,0.627,35.6
LAND000009,FRM000009,2025-02-28,0.709,6.4
LAND000009,FRM000009,2025-03-30,0.621,4.8
LAND000009,FRM000009,2025-04-29,0.573,9.2
LAND000009,FRM000009,2025-05-29,0.58,1.9
LAND000009,FRM000009,2025-06-28,0.478,37.9
LAND000009,FRM000009,2025-07-28,0.475,31.2
LAND000009,FRM000009,2025-08-27,0.535,20.9
LAND000009,FRM000009,2025-09-26,0.528,16.2
LAND000009,FRM000009,2025-10-26,0.533,0.1
LAND000010,FRM000010,2024-11-30,0.306,19.8
LAND000010,FRM000010,2024-12-30,0.438,0.3
LAND000010,FRM000010,2025-01-29,0.452,11.1
LAND000010,FRM000010,2025-02-28,0.461,15.8
LAND000010,FRM000010,2025-03-30,0.508,16.7
LAND000010,FRM000010,2025-04-29,0.464,12.4
LAND000010,FRM000010,2025-05-29,0.407,4.8
LAND000010,FRM000010,2025-06-28,0.382,2.8
LAND000010,FRM000010,2025-07-28,0.26,10.2
LAND000010,FRM000010,2025-08-27,0.331,35.1
LAND000010,FRM000010,2025-09-26,0.374,10.8
LAND000010,FRM000010,2025-10-26,0.385,30.4
LAND000011,FRM000011,2024-11-30,0.42,34.6
LAND000011,FRM000011,2024-12-30,0.537,34.9
LAND000011,FRM000011,2025-01-29,0.509,12.1
LAND000011,FRM000011,2025-02-28,0.498,28.7
LAND000011,FRM000011,2025-03-30,0.532,17.3
LAND000011,FRM000011,2025-04-29,0.53,3.7
LAND000011,FRM000011,2025-05-29,0.475,9.3
LAND000011,FRM000011,2025-06-28,0.513,25.4
LAND000011,FRM000011,2025-07-28,0.429,34.6
LAND000011,FRM000011,2025-08-27,0.43,17.8
LAND000011,FRM000011,2025-09-26,0.535,18.3
LAND000011,FRM000011,2025-10-26,0.648,15.9
LAND000012,FRM000012,2024-11-30,0.814,0.1
LAND000012,FRM000012,2024-12-30,0.676,10.4
LAND000012,FRM000012,2025-01-29,0.885,7.0
LAND000012,FRM000012,2025-02-28,0.809,21.9
LAND000012,FRM000012,2025-03-30,0.759,1.1
LAND000012,FRM000012,2025-04-29,0.825,18.0
LAND000012,FRM000012,2025-05-29,0.701,5.0
LAND000012,FRM000012,2025-06-28,0.614,26.1
LAND000012,FRM000012,2025-07-28,0.576,22.2
LAND000012,FRM000012,2025-08-27,0.527,11.9
LAND000012,FRM000012,2025-09-26,0.504,12.2
LAND000012,FRM000012,2025-10-26,0.587,24.8
LAND000013,FRM000013,2024-11-30,0.632,25.1
LAND000013,FRM000013,2024-12-30,0.642,17.5
LAND000013,FRM000013,2025-01-29,0.699,30.6
LAND000013,FRM000013,2025-02-28,0.69,10.6
LAND000013,FRM000013,2025-03-30,0.679,32.9
LAND000013,FRM000013,2025-04-29,0.716,3.4
LAND000013,FRM000013,2025-05-29,0.634,11.9
LAND000013,FRM000013,2025-06-28,0.645,10.6
LAND000013,FRM000013,2025-07-28,0.544,23.4
LAND000013,FRM000013,2025-08-27,0.54,19.5
LAND000013,FRM000013,2025-09-26,0.672,10.7
LAND000013,FRM000013,2025-10-26,0.626,36.4
LAND000014,FRM000014,2024-11-30,0.597,29.7
LAND000014,FRM000014,2024-12-30,0.679,25.7
LAND000014,FRM000014,2025-01-29,0.763,8.8
LAND000014,FRM000014,2025-02-28,0.64,17.8
LAND000014,FRM000014,2025-03-30,0.749,38.8
