geo_key,latitude,longitude,state,date,rainfall_mm,temperature_max,temperature_min,humidity
15.8_81.4,15.846174,81.385984,Maharashtra,2025-08-27,1.5,33.9,21.3,52.8
15.8_81.4,15.846174,81.385984,Maharashtra,2025-08-28,6.0,32.1,23.9,63.5
15.8_81.4,15.846174,81.385984,Maharashtra,2025-08-29,4.9,41.8,20.1,58.1
15.8_81.4,15.846174,81.385984,Maharashtra,2025-08-30,3.1,40.5,21.5,70.0
15.8_81.4,15.846174,81.385984,Maharashtra,2025-08-31,1.6,35.6,18.6,76.5
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-01,14.3,38.0,24.5,65.6
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-02,10.0,33.9,23.5,53.0
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-03,0.6,33.8,21.0,52.8
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-04,10.4,29.0,17.9,77.4
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-05,4.6,37.9,22.4,87.5
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-06,7.3,28.2,19.6,47.2
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-07,20.7,29.5,20.0,51.3
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-08,15.0,32.3,27.9,41.9
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-09,1.1,31.1,25.5,83.9
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-10,0.6,28.5,24.7,46.7
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-11,1.1,28.3,15.6,53.2
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-12,0.5,33.2,25.8,56.3
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-13,10.4,29.3,23.6,55.8
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-14,11.1,29.9,26.7,52.1
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-15,3.5,41.3,22.5,58.3
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-16,23.9,32.6,16.2,89.8
15.8_81.4,15.846174,81.385984,Maharashtra,2025-09-17,2.5,39.9,17.2,76.6
